village_name,ndvi,evi_log,evi_mean,evi_median,infra_density,electrified
Bihar(vil)-1029000103080400-246652.tif,0.42694627192982465,6.683820870058899,1.3448664546012878,1.559850107539784,0.0017928286852589642,0
Bihar(vil)-Aadharpur-227831.tif,0.42857947232947224,9.350204044511575,1.1368506252765656,1.5225546260674794,0.00667266456740141,1
Bihar(vil)-Ababakarpur-235044.tif,0.4170247046186895,7.605373532519635,1.1120162281123074,1.6267742243680088,0.029529616724738677,1
Bihar(vil)-Ababakarpur-235152.tif,0.36416957660410293,9.025839447389982,0.9318781048059464,1.3625465234120686,0.0001889168765743073,0
Bihar(vil)-Ababakarpur-236676.tif,0.5016450216450216,7.565638748956828,1.0139880230029423,1.5334723393122356,0.000818926296633303,0
Bihar(vil)-Abad Milik-224942.tif,0.33293269230769235,6.622084818269547,0.929262253371152,0.0,0.02715736040609137,1
Bihar(vil)-Abadpur-224943.tif,0.3648098449399027,10.229015156456676,0.9697551402178678,0.0,6.443760292117133e-05,0
Bihar(vil)-Abatana-246649.tif,0.31431623931623925,7.723282021089191,0.9900711883198131,1.4896075183695012,0.000656934306569343,0
Bihar(vil)-Abbu Chak-235346.tif,0.5233333333333333,6.33198273815364,1.3513195568864995,1.64158786426891,0.0026785714285714286,0
Bihar(vil)-Abbupur-238177.tif,0.42780461621041327,6.423491362755633,1.0188197791576385,1.5405992368857067,0.039628482972136225,1
Bihar(vil)-Abbupur-238178.tif,0.29043911335578004,7.3976758466209835,0.7059705754121145,0.0,0.0010392609699769054,0
Bihar(vil)-Abda Chak-240816.tif,0.4983522727272727,8.778063658296427,1.5428830335537593,1.9110695123672485,0.0002682563338301043,0
Bihar(vil)-Abdalpur Pipra-246075.tif,0.3050130208333333,6.974160032592818,0.8475405411286787,1.30144464969635,0.0013761467889908258,0
Bihar(vil)-Abdalpur-246143.tif,0.2853279242731575,7.030789515116942,0.7808848077600653,0.0,0.09004392386530015,1
Bihar(vil)-Abdalpur-249275.tif,0.3717073170731708,7.224500389350173,1.429538831114769,1.9806441217660904,0.001276595744680851,0
Bihar(vil)-Abdalpur-257625.tif,0.4265458422174841,8.696012238305245,1.3210265040397644,1.6961196064949036,0.00026881720430107527,0
Bihar(vil)-Abdhara-245953.tif,0.45614973262032094,7.821834558044716,1.3704982074824246,1.6787048144774004,0.014255910987482615,1
Bihar(vil)-Abdia-218756.tif,0.36948148148148147,7.120074735781626,1.144019061868841,1.673570004376498,0.0013119533527696794,0
Bihar(vil)-Abdul Hai-234535.tif,0.30648148148148147,8.237232015311617,0.9823986075141213,1.43568707596172,0.03344081068631967,1
Bihar(vil)-Abdul Mali Chak-240524.tif,0.42055555555555557,7.091391459718857,1.1947093854347866,1.785187264283498,0.001458670988654781,0
Bihar(vil)-Abdul Rahim Chak-237948.tif,0.43027210884353745,6.297428106692474,0.933963472644488,1.3236724734306335,0.0027863777089783283,0
Bihar(vil)-Abdul Rahmanpur-245290.tif,0.3382575757575757,6.055247589521486,1.0117379752072422,1.3483259840445085,0.002980132450331126,0
Bihar(vil)-Abdul Rahmanpur-246252.tif,0.2511574074074074,5.927516501047274,0.663475283167579,0.0,0.18073394495412845,1
Bihar(vil)-Abdul-258283.tif,0.4439843570278353,9.678507567718333,1.119348183274269,1.6160640716552734,0.0004350893697083725,1
Bihar(vil)-Abdulhai Chak-244373.tif,0.48198431915138945,8.260454379117625,1.3839982797702153,1.7471728026866913,0.0004231311706629055,0
Bihar(vil)-Abdullah Chak-245322.tif,0.4234330484330484,7.837153452587047,0.9099667939272794,1.3519473292610862,0.017945296864576386,1
Bihar(vil)-Abdullah Chak-246192.tif,0.24958949096880131,8.00307068583511,0.830144383690574,1.280892084945332,0.00046559751681324367,0
Bihar(vil)-Abdullahnagar-.tif,0.3536165378560183,9.858223090197136,1.0522976463491267,1.4900676553899592,8.447531443589263e-05,0
Bihar(vil)-Abdullahpur-224627.tif,0.4318627450980392,6.368429196429255,1.17292842539874,1.6285317485982722,0.14198717948717948,1
Bihar(vil)-Abdullahpur-225723.tif,0.014655593551538839,7.594633107417074,0.49638283749421436,0.0,0.021150933871781928,1
Bihar(vil)-Abdullahpur-227376.tif,0.41,6.150596291044977,1.0583731333414714,1.4625426183144252,0.003146853146853147,0
Bihar(vil)-Abdullahpur-227377.tif,0.60570987654321,5.181128473245379,1.700406899054845,1.9695860644181569,0.14222222222222222,1
Bihar(vil)-Abdullahpur-234590.tif,0.30226608187134496,6.772533427384957,0.9882004477761008,1.4422234838659114,0.0017408123791102514,0
Bihar(vil)-Abdullahpur-234591.tif,0.41709456568249886,6.766729329399194,1.143737186085094,1.6443525444377551,0.001859504132231405,0
Bihar(vil)-Abdullanagar-239129.tif,0.4121900826446281,6.339470553676587,1.2148842811584473,1.648575892051061,0.002531645569620253,1
Bihar(vil)-Abdulnagar urf Madhopur-229436.tif,0.30500936329588013,8.187134848399625,0.9496114470741965,1.4208771207115867,0.0032571706368497814,1
Bihar(vil)-Abdulpur Raini-229332.tif,0.5445624195624196,8.407217307451994,1.2551455547412236,1.6562853058179219,0.0003595685177786656,0
Bihar(vil)-Abdulpur-235314.tif,0.31497747747747745,7.348338243873494,0.7102415426210924,0.0,0.0010250569476082006,0
Bihar(vil)-Abdulpur-239724.tif,0.3661616161616161,6.456183964342222,1.2804275155067444,1.8787446320056915,0.0028125,0
Bihar(vil)-Abdulpur-253349.tif,0.26758658008658015,8.369523148516754,1.1446657560088418,1.7382973757657139,0.0073324905183312266,1
Bihar(vil)-Abdulrasul-239760.tif,0.3903093434343435,6.167083900001486,0.9522687767942747,1.4182602514823277,0.32048611111111114,1
Bihar(vil)-Abe Badshahpur-243909.tif,0.4366830065359477,5.565384227247143,1.3374607066313426,1.8569712738196056,0.006474820143884892,0
Bihar(vil)-Aber urf Rambari-227875.tif,0.4026967285587975,8.284530656890063,1.0776296158631642,1.4557938277721405,0.00043000477783086477,0
